component,path,type,severity,line,details,suggestion
"GlassErrorBoundary","components/GlassErrorBoundary.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"AccessibilityProvider","components/accessibility/AccessibilityProvider.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassA11y","components/accessibility/GlassA11y.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassFocusIndicators","components/accessibility/GlassFocusIndicators.tsx","hardcoded_opacity","medium",52,"glow: 'shadow-[0_0_20px_rgba(96,165,250,0.6)]',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassFocusIndicators","components/accessibility/GlassFocusIndicators.tsx","hardcoded_opacity","medium",58,"glow: 'shadow-[0_0_15px_rgba(167,139,250,0.6)]',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassFocusIndicators","components/accessibility/GlassFocusIndicators.tsx","hardcoded_opacity","medium",64,"glow: 'shadow-[0_0_15px_rgba(34,197,94,0.6)]',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassFocusIndicators","components/accessibility/GlassFocusIndicators.tsx","hardcoded_opacity","medium",70,"glow: 'shadow-[0_0_15px_rgba(96,165,250,0.5)]',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassFocusIndicators","components/accessibility/GlassFocusIndicators.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassFocusIndicators","components/accessibility/GlassFocusIndicators.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_color","medium",63,"{ color: '#007AFF', timestamp: Date.now() - 86400000, confidence: 0.95 },","Use COLORS.* constants or CSS custom properties"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_color","medium",64,"{ color: '#1D1D1F', timestamp: Date.now() - 172800000, confidence: 0.87 }","Use COLORS.* constants or CSS custom properties"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_color","medium",73,"{ color: '#4285F4', timestamp: Date.now() - 86400000, confidence: 0.98 },","Use COLORS.* constants or CSS custom properties"
